category_id,views,likes,dislikes,comment_count,category_name,total_trending_days,published_year,published_month,published_week,published_day,published_hour,published_minute
17,81377,655,25,177,Sports,1,2017,11,46,13,2,5
1,288922,7515,792,2111,Film & Animation,1,2017,11,45,12,18,0
25,34785,308,26,413,News & Politics,1,2017,11,45,12,21,16
24,1496225,16116,236,605,Entertainment,1,2017,11,45,10,19,6
28,237307,1896,74,260,Science & Technology,1,2017,11,45,10,12,4
24,1497519,15504,353,1084,Entertainment,1,2017,11,45,10,9,35
23,225286,1731,193,206,Comedy,1,2017,11,45,10,11,0
10,5476737,286268,4083,12254,Music,1,2017,11,45,10,5,1
24,304926,3305,130,275,Entertainment,1,2017,11,45,10,14,0
24,1017803,25122,628,1504,Entertainment,1,2017,11,45,9,18,20
23,1315873,9312,584,769,Comedy,1,2017,11,45,9,4,58
10,98422,2926,106,798,Music,1,2017,11,45,10,21,38
10,95944,1354,181,117,Music,1,2017,11,45,9,15,49
24,95085,909,52,193,Entertainment,1,2011,3,12,27,4,31
10,91776,4604,46,357,Music,1,2017,11,45,10,0,0
26,77630,1991,83,208,Howto & Style,1,2017,11,45,9,14,0
24,378750,5642,146,675,Entertainment,1,2017,11,45,9,9,0
24,151709,9210,71,1103,Entertainment,1,2017,11,45,9,15,6
24,175852,15909,200,852,Entertainment,1,2017,11,45,9,16,0
10,5149,242,0,54,Music,1,2017,11,45,10,4,8
10,1905487,65854,2442,4490,Music,1,2017,11,45,8,13,0
10,9632678,810895,16139,59473,Music,1,2017,11,45,8,13,0
24,476389,16106,950,2077,Entertainment,1,2017,11,45,8,21,5
10,762616,20159,336,899,Music,1,2017,11,45,9,2,21
22,691229,31892,197,1404,People & Blogs,1,2017,11,45,9,3,16
27,6412,49,0,2,Education,1,2012,6,23,10,19,24
27,79306,3809,127,670,Education,1,2017,11,45,9,14,0
24,812007,5894,951,851,Entertainment,1,2017,11,45,8,14,0
26,55398,1170,22,336,Howto & Style,1,2017,11,45,9,17,22
27,773,2,0,0,Education,1,2017,3,13,31,21,46
24,581288,5075,725,1780,Entertainment,1,2017,11,45,8,13,34
10,99619,3959,158,335,Music,1,2017,11,45,9,14,0
2,4850,22,1,1,Autos & Vehicles,1,2017,11,45,9,9,59
10,226088,10844,302,555,Music,1,2017,11,45,9,18,46
10,651036,23338,442,1101,Music,1,2017,11,45,8,22,4
24,451356,3454,284,623,Entertainment,1,2017,11,45,8,18,0
15,46571,4250,16,408,Pets & Animals,1,2017,11,45,9,23,44
24,28539,681,25,45,Entertainment,1,2017,11,45,10,20,39
1,12609,40,79,17,Film & Animation,1,2017,10,41,13,8,20
10,30021,569,42,44,Music,1,2017,11,45,9,15,0
26,471266,23634,460,1714,Howto & Style,1,2017,11,45,9,3,27
24,1073134,47793,1886,5358,Entertainment,1,2017,11,45,8,22,17
17,18573,420,10,236,Sports,1,2017,11,45,10,4,0
27,250193,5748,332,1197,Education,1,2017,11,45,8,20,30
28,1827,3,0,2,Science & Technology,1,2017,11,44,4,20,48
28,2457408,2707,200,209,Science & Technology,1,2017,11,45,7,19,22
23,51143,258,5,10,Comedy,1,2017,11,45,9,16,53
24,27010,1666,36,150,Entertainment,1,2017,11,45,9,17,1
26,122669,5723,55,263,Howto & Style,1,2017,11,45,9,18,30
22,358597,1211,72,593,People & Blogs,1,2017,11,45,7,18,54
24,56012,6243,106,414,Entertainment,1,2017,11,45,9,19,11
22,6148,121,3,19,People & Blogs,1,2017,11,45,9,16,33
26,1390440,86207,1775,710,Howto & Style,1,2017,11,45,8,18,24
25,244532,633,174,765,News & Politics,1,2017,11,45,7,22,59
24,82087,998,93,289,Entertainment,1,2017,11,45,8,21,50
23,359120,15130,223,1143,Comedy,1,2017,11,45,9,1,27
25,33768,426,88,550,News & Politics,1,2017,11,45,8,18,39
10,38068,2195,28,154,Music,1,2017,11,45,9,5,0
26,1277364,56867,2148,25326,Howto & Style,1,2017,11,45,8,18,0
10,1498866,67227,1473,4645,Music,1,2017,11,45,8,14,0
22,280065,20289,38,939,People & Blogs,1,2017,11,45,8,22,13
22,2259,0,0,0,People & Blogs,1,2017,11,45,9,18,1
17,470191,4037,430,1553,Sports,1,2017,11,45,8,15,59
17,16305,147,13,47,Sports,1,2017,11,45,9,7,27
25,169511,57,59,79,News & Politics,1,2017,11,45,8,20,16
24,160477,8388,691,950,Entertainment,1,2017,11,45,8,0,3
2,704363,16352,224,841,Autos & Vehicles,1,2017,11,45,8,15,0
22,130778,5684,53,737,People & Blogs,1,2017,11,45,8,21,0
28,560569,29990,341,1788,Science & Technology,1,2017,11,45,8,17,16
23,2765121,35529,1705,2388,Comedy,1,2017,11,46,14,8,30
1,826059,3543,119,340,Film & Animation,2,2017,11,46,13,14,0
1,2671756,12699,505,1010,Film & Animation,2,2017,11,46,13,14,0
23,137749,1145,61,131,Comedy,1,2017,11,46,14,10,0
24,137860,1950,64,136,Entertainment,1,2017,11,46,14,14,0
25,256426,12654,1363,2368,News & Politics,2,2017,11,46,13,13,45
25,635985,20721,2417,4111,News & Politics,2,2017,11,46,13,13,45
17,63780,831,12,301,Sports,1,2017,11,46,14,6,24
27,223871,8421,191,1214,Education,2,2017,11,45,12,22,0
27,286577,9606,248,1196,Education,2,2017,11,45,12,22,0
24,102639,3218,1085,475,Entertainment,1,2017,11,46,14,6,47
17,956169,2017,2425,1447,Sports,2,2017,11,45,10,18,23
17,1015189,2133,2483,1465,Sports,2,2017,11,45,10,18,23
17,1044813,15397,838,1100,Sports,2,2017,11,45,11,15,0
17,1155622,16060,883,1018,Sports,2,2017,11,45,11,15,0
1,2736733,58967,3492,7915,Film & Animation,2,2017,11,45,9,17,14
1,2844271,60500,3667,8122,Film & Animation,2,2017,11,45,9,17,14
26,92523,2323,40,134,Howto & Style,2,2017,11,45,10,16,1
26,99019,2404,40,135,Howto & Style,2,2017,11,45,10,16,1
10,125962,5048,139,369,Music,2,2017,11,45,10,5,0
10,147193,5405,151,395,Music,2,2017,11,45,10,5,0
26,247319,10138,153,639,Howto & Style,2,2017,11,45,10,18,42
26,269509,10801,158,653,Howto & Style,2,2017,11,45,10,18,42
23,3578502,307435,2573,12248,Comedy,2,2017,11,45,10,3,43
23,3741812,314872,2647,12114,Comedy,2,2017,11,45,10,3,43
22,1098897,43875,1326,4702,People & Blogs,2,2017,11,45,9,11,24
22,1185773,45513,1378,4794,People & Blogs,2,2017,11,45,9,11,24
10,138988,7999,84,612,Music,2,2017,11,45,10,5,0
10,178313,9072,98,656,Music,2,2017,11,45,10,5,0
10,1774018,88417,1002,7686,Music,2,2017,11,45,9,5,0
10,2185367,96850,1130,8216,Music,2,2017,11,45,9,5,0
1,296434,3327,142,377,Film & Animation,2,2017,11,45,9,22,0
1,366814,4099,172,449,Film & Animation,2,2017,11,45,9,22,0
10,626688,25115,499,1392,Music,2,2017,11,45,9,17,3
10,797436,29425,585,1497,Music,2,2017,11,45,9,17,3
28,1575525,52829,1524,5864,Science & Technology,2,2017,11,45,9,21,18
28,1646057,53901,1566,5963,Science & Technology,2,2017,11,45,9,21,18
24,264793,3283,853,0,Entertainment,2,2017,11,45,9,8,1
24,271685,3330,854,0,Entertainment,2,2017,11,45,9,8,1
17,3505996,5934,3400,5162,Sports,1,2017,11,45,8,17,29
22,188003,9091,135,2814,People & Blogs,2,2017,11,45,9,23,27
22,194946,9278,137,2803,People & Blogs,2,2017,11,45,9,23,27
22,362009,5505,2356,1264,People & Blogs,2,2017,11,45,9,7,0
22,392482,5659,2432,1311,People & Blogs,2,2017,11,45,9,7,0
10,1624771,84426,1130,5981,Music,2,2017,11,45,9,15,45
10,1882868,88072,1219,6083,Music,2,2017,11,45,9,15,45
10,205869,11198,120,446,Music,2,2017,11,45,10,13,24
10,226317,11702,125,471,Music,2,2017,11,45,10,13,24
26,219030,14303,398,1099,Howto & Style,2,2017,11,45,10,1,30
26,232083,14766,408,1107,Howto & Style,2,2017,11,45,10,1,30
25,125970,935,507,262,News & Politics,2,2017,11,45,10,13,0
25,144694,1012,588,288,News & Politics,2,2017,11,45,10,13,0
24,844653,11616,313,1518,Entertainment,2,2017,11,45,9,8,35
24,908489,12261,339,1600,Entertainment,2,2017,11,45,9,8,35
10,154494,2163,147,211,Music,2,2017,11,45,10,8,0
10,180606,2400,159,239,Music,2,2017,11,45,10,8,0
22,294387,15247,385,976,People & Blogs,2,2017,11,45,10,0,24
22,308352,15765,399,984,People & Blogs,2,2017,11,45,10,0,24
24,192609,1345,24,126,Entertainment,2,2015,5,21,21,7,55
24,193832,1351,25,128,Entertainment,2,2015,5,21,21,7,55
10,33315,1365,24,91,Music,2,2017,11,45,9,22,27
10,41251,1561,29,96,Music,2,2017,11,45,9,22,27
10,493662,7693,181,388,Music,2,2017,11,45,9,0,44
10,524911,7822,185,403,Music,2,2017,11,45,9,0,44
15,426078,19323,245,945,Pets & Animals,2,2017,11,45,9,13,34
15,467804,19962,268,953,Pets & Animals,2,2017,11,45,9,13,34
26,72626,3652,120,219,Howto & Style,2,2017,11,45,10,22,22
26,77302,3756,123,222,Howto & Style,2,2017,11,45,10,22,22
10,264511,11736,532,743,Music,2,2017,11,45,10,8,0
10,304700,12347,577,756,Music,2,2017,11,45,10,8,0
10,1231518,32648,6221,9288,Music,2,2017,11,45,8,17,0
10,1440724,36686,6598,9637,Music,2,2017,11,45,8,17,0
24,754558,11985,1356,1757,Entertainment,2,2017,11,45,8,5,1
24,878560,12961,1468,1788,Entertainment,2,2017,11,45,8,5,1
24,139955,4417,217,457,Entertainment,2,2017,11,45,9,11,30
24,155533,4621,233,451,Entertainment,2,2017,11,45,9,11,30
20,154872,7683,164,1734,Gaming,2,2017,11,45,9,19,59
20,161231,7803,169,1479,Gaming,2,2017,11,45,9,19,59
24,366180,4364,4448,1997,Entertainment,2,2017,11,45,9,2,37
24,379918,4472,4507,2066,Entertainment,2,2017,11,45,9,2,37
25,90454,211,65,59,News & Politics,1,2017,11,45,10,8,0
10,135337,7158,89,318,Music,2,2017,11,45,10,8,0
10,157037,7800,96,326,Music,2,2017,11,45,10,8,0
10,764716,35765,483,1159,Music,2,2017,11,45,9,9,0
10,895507,38734,550,1270,Music,2,2017,11,45,9,9,0
23,108618,4989,58,274,Comedy,2,2017,11,45,9,14,0
23,134372,7979,80,310,Comedy,2,2017,11,45,9,14,0
22,53321,443,131,106,People & Blogs,2,2017,11,45,9,18,24
22,55901,477,132,105,People & Blogs,2,2017,11,45,9,18,24
24,199429,10175,66,539,Entertainment,2,2017,11,45,9,23,59
24,207678,10372,69,554,Entertainment,2,2017,11,45,9,23,59
24,3621389,141681,1289,8127,Entertainment,1,2017,11,46,15,6,42
25,533940,12633,597,1828,News & Politics,1,2017,11,46,15,11,30
24,1559003,29898,884,1838,Entertainment,1,2017,11,46,15,14,0
24,760341,13283,317,433,Entertainment,1,2017,11,46,15,5,15
23,1611093,58474,837,3294,Comedy,2,2017,11,46,14,4,55
23,2223948,76806,1169,4176,Comedy,2,2017,11,46,14,4,55
28,75752,9419,52,1230,Science & Technology,3,2017,11,46,13,20,9
28,3701763,56561,2495,11608,Science & Technology,3,2017,11,46,13,20,9
28,5531707,72727,3362,14816,Science & Technology,3,2017,11,46,13,20,9
28,1825705,77531,4156,12025,Science & Technology,1,2017,11,46,15,2,17
17,845763,17929,502,2325,Sports,1,2017,11,46,15,2,26
27,177648,6932,786,697,Education,1,2017,11,46,14,22,0
17,200235,1197,108,627,Sports,2,2017,11,46,14,16,28
17,281868,1546,245,885,Sports,2,2017,11,46,14,16,28
26,145100,5198,74,657,Howto & Style,2,2017,11,46,14,16,0
26,196434,6305,88,762,Howto & Style,2,2017,11,46,14,16,0
1,17129,455,18,101,Film & Animation,1,2017,11,46,15,13,32
24,90641,2349,409,1246,Entertainment,1,2017,11,46,15,7,51
17,12494,252,3,91,Sports,1,2017,11,46,15,5,14
24,18438,563,16,29,Entertainment,2,2017,11,46,14,13,0
24,30341,730,22,34,Entertainment,2,2017,11,46,14,13,0
10,131153,7129,78,265,Music,2,2017,11,46,13,20,11
10,157522,8012,85,286,Music,2,2017,11,46,13,20,11
19,571588,386,47,113,Travel & Events,2,2017,11,46,13,9,21
19,1037561,716,117,223,Travel & Events,2,2017,11,46,13,9,21
24,144937,5246,171,280,Entertainment,2,2017,11,46,14,13,0
24,212992,7049,209,365,Entertainment,2,2017,11,46,14,13,0
24,113963,11576,155,635,Entertainment,2,2017,11,46,14,17,0
24,209442,19069,289,836,Entertainment,2,2017,11,46,14,17,0
17,94694,136,11,31,Sports,2,2010,1,2,14,15,56
17,99999,143,12,32,Sports,2,2010,1,2,14,15,56
24,4732,203,6,33,Entertainment,3,2017,11,46,13,17,0
24,13750,305,10,39,Entertainment,3,2017,11,46,13,17,0
24,20529,318,11,41,Entertainment,3,2017,11,46,13,17,0
26,145921,1707,578,673,Howto & Style,3,2017,11,45,12,16,0
26,225044,2265,775,868,Howto & Style,3,2017,11,45,12,16,0
26,237111,2323,786,636,Howto & Style,3,2017,11,45,12,16,0
25,9132,21,8,64,News & Politics,3,2017,11,45,12,15,24
25,32483,23,10,135,News & Politics,3,2017,11,45,12,15,24
25,36859,23,10,135,News & Politics,3,2017,11,45,12,15,24
2,7265,89,8,22,Autos & Vehicles,3,2017,11,46,13,0,46
2,55140,136,14,46,Autos & Vehicles,3,2017,11,46,13,0,46
2,100120,154,15,48,Autos & Vehicles,3,2017,11,46,13,0,46
24,1842393,99086,1339,11800,Entertainment,3,2017,11,45,11,19,3
24,1981757,103407,1419,12354,Entertainment,3,2017,11,45,11,19,3
24,2083918,106243,1461,12707,Entertainment,3,2017,11,45,11,19,3
22,85643,170,45,0,People & Blogs,2,2017,11,45,11,1,3
22,92327,182,45,0,People & Blogs,2,2017,11,45,11,1,3
28,290801,10237,377,1016,Science & Technology,3,2017,11,45,11,15,38
28,297840,10429,378,990,Science & Technology,3,2017,11,45,11,15,38
28,300601,10497,382,991,Science & Technology,3,2017,11,45,11,15,38
22,2744430,115426,1110,6541,People & Blogs,3,2017,11,45,11,1,19
22,2922523,119348,1161,6736,People & Blogs,3,2017,11,45,11,1,19
22,3031863,121285,1186,6852,People & Blogs,3,2017,11,45,11,1,19
28,1080230,2540,887,1040,Science & Technology,2,2017,11,45,10,7,28
28,1167646,2691,916,1122,Science & Technology,2,2017,11,45,10,7,28
24,812516,26917,1979,4998,Entertainment,3,2017,11,45,10,15,7
24,835573,27068,2021,5165,Entertainment,3,2017,11,45,10,15,7
24,849499,27121,2042,5181,Entertainment,3,2017,11,45,10,15,7
10,46746,439,66,55,Music,3,2017,11,45,9,22,23
10,54341,487,67,64,Music,3,2017,11,45,9,22,23
10,58135,519,69,65,Music,3,2017,11,45,9,22,23
10,33523622,1634124,21082,85067,Music,3,2017,11,45,9,11,4
10,39082222,1721383,23137,90352,Music,3,2017,11,45,9,11,4
10,43449654,1788960,24548,93428,Music,3,2017,11,45,9,11,4
26,484185,23296,1184,1858,Howto & Style,3,2017,11,45,11,2,42
26,515525,24115,1249,1860,Howto & Style,3,2017,11,45,11,2,42
26,525210,24412,1259,1847,Howto & Style,3,2017,11,45,11,2,42
26,300617,8133,2693,2911,Howto & Style,3,2017,11,45,10,20,40
26,366892,9052,2993,3088,Howto & Style,3,2017,11,45,10,20,40
26,390261,9474,3091,3207,Howto & Style,3,2017,11,45,10,20,40
26,103927,3571,278,399,Howto & Style,3,2017,11,45,11,5,23
26,118316,3823,294,404,Howto & Style,3,2017,11,45,11,5,23
26,122772,3912,298,403,Howto & Style,3,2017,11,45,11,5,23
15,45455,2282,35,17,Pets & Animals,3,2017,11,45,12,0,18
15,45965,2284,35,17,Pets & Animals,3,2017,11,45,12,0,18
15,46260,2286,35,17,Pets & Animals,3,2017,11,45,12,0,18
22,177707,6271,88,275,People & Blogs,3,2017,11,45,11,0,30
22,216766,7108,95,319,People & Blogs,3,2017,11,45,11,0,30
22,243412,7782,104,340,People & Blogs,3,2017,11,45,11,0,30
28,465893,111,14,59,Science & Technology,1,2017,11,45,9,15,20
1,52591,2233,187,255,Film & Animation,3,2017,11,45,11,3,56
1,56372,2332,191,261,Film & Animation,3,2017,11,45,11,3,56
1,59168,2412,193,274,Film & Animation,3,2017,11,45,11,3,56
24,75822,2978,147,243,Entertainment,3,2017,11,45,10,23,0
24,81086,3085,150,250,Entertainment,3,2017,11,45,10,23,0
24,82713,3124,151,250,Entertainment,3,2017,11,45,10,23,0
24,836830,82320,1279,7998,Entertainment,3,2017,11,45,10,17,0
24,1072970,102199,1469,8943,Entertainment,3,2017,11,45,10,17,0
24,1233722,115781,1615,9706,Entertainment,3,2017,11,45,10,17,0
27,67429,438,23,23,Education,3,2017,11,45,12,2,39
27,69786,453,26,19,Education,3,2017,11,45,12,2,39
27,71089,460,27,20,Education,3,2017,11,45,12,2,39
24,101233,3128,51,93,Entertainment,2,2017,11,45,10,17,1
24,127404,3869,56,111,Entertainment,2,2017,11,45,10,17,1
15,284666,16396,81,949,Pets & Animals,3,2017,11,45,10,18,2
15,317304,17023,84,939,Pets & Animals,3,2017,11,45,10,18,2
15,339256,17267,85,948,Pets & Animals,3,2017,11,45,10,18,2
10,165698,8599,361,930,Music,3,2017,11,45,10,15,43
10,204298,9321,386,993,Music,3,2017,11,45,10,15,43
10,226659,9725,400,1027,Music,3,2017,11,45,10,15,43
10,195685,14338,171,1070,Music,3,2017,11,45,10,18,3
10,224608,14843,180,1004,Music,3,2017,11,45,10,18,3
